Rank_no,Movie_name,Release_Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10,Gross_numeric,Primary_Genre,Synthetic_Review,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,VADER_Sentiment,Genre_Encoded,Certificate_Encoded,Decade
492,The Artist,,PG-13,100,"Comedy, Drama, Romance",89.0,44.67,7.9,44.67,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,10,
493,Edge of Tomorrow,2014.0,PG-13,113,"Action, Adventure, Sci-Fi",71.0,100.21,7.9,100.21,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,10,2010.0
494,Avatar: The Way of Water,2022.0,PG-13,192,"Action, Adventure, Fantasy",67.0,,7.9,25.54,Action,Avatar: The Way of Water is a solid action film. Entertaining with good performances.,0.0,0.598,0.402,0.7506,Positive,0,10,2020.0
495,Amour,2012.0,PG-13,127,Drama,94.0,6.74,7.9,6.74,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,10,2010.0
496,About Elly,2009.0,TV-PG,119,"Drama, Mystery",87.0,0.11,7.9,0.11,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,15,2000.0
497,Dev.D,2009.0,Not Rated,144,"Comedy, Drama, Romance",80.0,0.01,7.9,0.01,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,8,2000.0
498,My Name Is Khan,2010.0,PG-13,165,"Adventure, Drama, Romance",50.0,4.02,7.9,4.02,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,10,2010.0
499,The Banshees of Inisherin,2022.0,R,114,"Comedy, Drama",87.0,,7.9,25.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,12,2020.0
500,Let the Right One In,2008.0,R,114,"Drama, Fantasy, Horror",82.0,2.12,7.9,2.12,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2000.0
501,District 9,2009.0,R,112,"Action, Sci-Fi, Thriller",81.0,115.65,7.9,115.65,Action,District 9 is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,12,2000.0
502,The Wrestler,2008.0,R,109,"Drama, Sport",80.0,26.24,7.9,26.24,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,2000.0
503,Jab We Met,2007.0,Not Rated,138,"Comedy, Drama, Romance",80.0,0.41,7.9,0.41,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,8,2000.0
504,Boyhood,,R,165,Drama,100.0,25.38,7.9,25.38,Drama,Boyhood is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,12,
505,"4 Months, 3 Weeks and 2 Days",2007.0,Not Rated,113,Drama,97.0,1.19,7.9,1.19,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,8,2000.0
506,Star Trek,2009.0,PG-13,127,"Action, Adventure, Sci-Fi",82.0,257.73,7.9,257.73,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,10,2000.0
507,Dallas Buyers Club,2013.0,R,117,"Biography, Drama",77.0,27.3,7.9,27.3,Biography,Dallas Buyers Club is a solid biography film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,3,12,2010.0
508,In Bruges,2008.0,R,107,"Comedy, Crime, Drama",67.0,7.76,7.9,7.76,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,12,2000.0
509,The Man from Earth,2007.0,Not Rated,87,"Drama, Fantasy, Mystery",80.0,,7.9,25.54,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,2000.0
510,Avatar,2009.0,PG-13,162,"Action, Adventure, Fantasy",83.0,760.51,7.9,760.51,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2000.0
511,Letters from Iwo Jima,2006.0,R,141,"Action, Adventure, Drama",89.0,13.76,7.9,13.76,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,12,2000.0
512,Life of Pi,2012.0,PG,127,"Adventure, Drama, Fantasy",79.0,124.99,7.9,124.99,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,9,2010.0
513,Fantastic Mr. Fox,2009.0,PG,87,"Animation, Adventure, Comedy",83.0,21.0,7.9,21.0,Animation,Enjoyed watching this. Great animation elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,2,9,2000.0
514,3-Iron,2004.0,R,88,"Crime, Drama, Romance",72.0,0.24,7.9,0.24,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,12,2000.0
515,C.R.A.Z.Y.,2005.0,Not Rated,129,"Comedy, Drama",81.0,,7.9,25.54,Comedy,C.R.A.Z.Y. is a solid comedy film. Entertaining with good performances.,0.0,0.377,0.623,0.836,Positive,4,8,2000.0
516,The Return,2003.0,Not Rated,110,Drama,82.0,0.5,7.9,0.5,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,2000.0
517,Iron Man,2008.0,PG-13,126,"Action, Adventure, Sci-Fi",79.0,318.41,7.9,318.41,Action,Iron Man is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,10,2000.0
518,Shaun of the Dead,2004.0,R,99,"Comedy, Horror",76.0,13.54,7.9,13.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,12,2000.0
519,Kal Ho Naa Ho,2003.0,Not Rated,186,"Comedy, Drama, Musical",54.0,1.79,7.9,1.79,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,8,2000.0
520,Head-On,2004.0,R,121,"Drama, Romance",78.0,,7.9,25.54,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,2000.0
521,Mystic River,2003.0,R,138,"Crime, Drama, Mystery",84.0,90.14,7.9,90.14,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,2000.0
522,Harry Potter and the Prisoner of Azkaban,2004.0,PG,142,"Adventure, Family, Fantasy",82.0,249.36,7.9,249.36,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,9,2000.0
523,Hero,2002.0,PG-13,120,"Action, Adventure, Drama",85.0,53.71,7.9,53.71,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2000.0
524,Talk to Her,2002.0,R,112,"Drama, Mystery, Romance",86.0,9.28,7.9,9.28,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2000.0
525,No Man's Land,,R,98,"Comedy, Drama, War",84.0,1.06,7.9,1.06,Comedy,No Man's Land is a solid comedy film. Entertaining with good performances.,0.115,0.366,0.518,0.7717,Positive,4,12,
526,The Bourne Identity,2002.0,PG-13,119,"Action, Mystery, Thriller",68.0,121.66,7.9,121.66,Action,The Bourne Identity is a solid action film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,0,10,2000.0
527,Nine Queens,2000.0,R,114,"Crime, Drama, Thriller",80.0,1.22,7.9,1.22,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,2000.0
528,Children of Men,2006.0,R,109,"Action, Drama, Sci-Fi",84.0,35.55,7.9,35.55,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,12,2000.0
529,"Crouching Tiger, Hidden Dragon",2000.0,PG-13,120,"Action, Adventure, Drama",94.0,128.08,7.9,128.08,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2000.0
530,Almost Famous,2000.0,R,122,"Adventure, Comedy, Drama",90.0,32.53,7.9,32.53,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,12,2000.0
531,Dancer in the Dark,2000.0,R,140,"Crime, Drama, Musical",61.0,4.18,7.9,4.18,Crime,Dancer in the Dark is a solid crime film. Entertaining with good performances.,0.176,0.452,0.372,0.4404,Positive,5,12,2000.0
532,Mulholland Drive,2001.0,R,147,"Drama, Mystery, Thriller",85.0,7.22,7.9,7.22,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2000.0
533,Shrek,2001.0,PG,90,"Animation, Adventure, Comedy",84.0,267.67,7.9,267.67,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,9,2000.0
534,Toy Story 2,1999.0,G,92,"Animation, Adventure, Comedy",88.0,245.85,7.9,245.85,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,4,1990.0
535,Titanic,1997.0,PG-13,194,"Drama, Romance",75.0,659.33,7.9,659.33,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,10,1990.0
536,Knockin' on Heaven's Door,1997.0,Not Rated,87,"Action, Crime, Comedy",80.0,0.0,7.9,0.0,Action,Knockin' on Heaven's Door is a solid action film. Entertaining with good performances.,0.0,0.575,0.425,0.7506,Positive,0,8,1990.0
537,Boogie Nights,1997.0,R,155,Drama,85.0,26.4,7.9,26.4,Drama,Boogie Nights is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,1990.0
538,Whisper of the Heart,1995.0,G,111,"Animation, Drama, Family",75.0,,7.9,25.54,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,4,1990.0
539,Ghost in the Shell,1995.0,TV-MA,83,"Animation, Action, Crime",76.0,0.52,7.9,0.52,Animation,Ghost in the Shell is a solid animation film. Entertaining with good performances.,0.123,0.481,0.396,0.6249,Positive,2,14,1990.0
540,Once Were Warriors,1994.0,R,102,"Crime, Drama",77.0,2.2,7.9,2.2,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,12,1990.0
541,True Romance,1993.0,R,119,"Crime, Drama, Romance",59.0,12.28,7.9,12.28,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,1990.0
542,Three Colors: Blue,1993.0,R,94,"Drama, Music, Mystery",85.0,1.32,7.9,1.32,Drama,Three Colors: Blue is a solid drama film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,6,12,1990.0
543,The Nightmare Before Christmas,1993.0,PG,76,"Animation, Family, Fantasy",82.0,75.08,7.9,75.08,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,9,1990.0
544,Carlito's Way,1993.0,R,144,"Crime, Drama, Thriller",65.0,36.95,7.9,36.95,Crime,Carlito's Way is a solid crime film. Entertaining with good performances.,0.196,0.391,0.413,0.4404,Positive,5,12,1990.0
545,"Blood In, Blood Out",1993.0,R,180,"Crime, Drama",47.0,4.5,7.9,4.5,Crime,"Blood In, Blood Out is a solid crime film. Entertaining with good performances.",0.176,0.452,0.372,0.4404,Positive,5,12,1990.0
546,Edward Scissorhands,1990.0,PG-13,105,"Drama, Fantasy, Romance",74.0,56.36,7.9,56.36,Drama,Edward Scissorhands is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,10,1990.0
547,My Left Foot,1989.0,R,103,"Biography, Drama",97.0,14.74,7.9,14.74,Biography,My Left Foot is a solid biography film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,3,12,1980.0
548,Do the Right Thing,1989.0,R,120,"Comedy, Drama",93.0,27.55,7.9,27.55,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,12,1980.0
549,The Sacrifice,1986.0,PG,149,Drama,80.0,0.3,7.9,0.3,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,9,1980.0
550,Hannah and Her Sisters,1986.0,PG-13,107,"Comedy, Drama",90.0,40.08,7.9,40.08,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,10,1980.0
551,Brazil,1985.0,R,132,"Drama, Sci-Fi",84.0,9.93,7.9,9.93,Drama,Brazil is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,12,1980.0
552,This Is Spinal Tap,1984.0,R,82,"Comedy, Music",92.0,4.74,7.9,4.74,Comedy,This Is Spinal Tap is a solid comedy film. Entertaining with good performances.,0.0,0.476,0.524,0.836,Positive,4,12,1980.0
553,A Christmas Story,1983.0,PG,93,"Comedy, Family",77.0,20.61,7.9,20.61,Comedy,A Christmas Story is a solid comedy film. Entertaining with good performances.,0.0,0.447,0.553,0.836,Positive,4,9,1980.0
554,E.T. the Extra-Terrestrial,1982.0,PG,115,"Adventure, Family, Sci-Fi",91.0,435.11,7.9,435.11,Adventure,E.T. the Extra-Terrestrial is a solid adventure film. Entertaining with good performances.,0.0,0.452,0.548,0.8271,Positive,1,9,1980.0
555,Kagemusha,1980.0,PG,162,"Drama, History, War",84.0,,7.9,25.54,Drama,Kagemusha is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,9,1980.0
556,The Blues Brothers,1980.0,R,133,"Action, Adventure, Comedy",60.0,57.23,7.9,57.23,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,12,1980.0
557,Manhattan,1979.0,R,96,"Comedy, Drama, Romance",83.0,45.7,7.9,45.7,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,12,1970.0
558,All the President's Men,1976.0,PG,138,"Drama, History, Thriller",84.0,70.6,7.9,70.6,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,1970.0
559,I Remember,1973.0,R,123,"Comedy, Drama",80.0,0.58,7.9,0.58,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,12,1970.0
560,Harold and Maude,1971.0,PG,91,"Comedy, Drama, Romance",62.0,,7.9,25.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,9,1970.0
561,Patton,1970.0,GP,172,"Biography, Drama, War",91.0,61.7,7.9,61.7,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,5,1970.0
562,The Conformist,1970.0,R,113,Drama,100.0,0.54,7.9,0.54,Drama,The Conformist is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,1970.0
563,Le Cercle Rouge,1970.0,Not Rated,140,"Crime, Drama, Thriller",91.0,0.37,7.9,0.37,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,8,1970.0
564,The Wild Bunch,1969.0,R,135,"Action, Adventure, Western",97.0,12.06,7.9,12.06,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,12,1960.0
565,The Lion in Winter,1968.0,PG,134,"Biography, Drama, History",80.0,22.28,7.9,22.28,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,9,1960.0
566,In the Heat of the Night,1967.0,Approved,110,"Drama, Mystery, Thriller",75.0,24.38,7.9,24.38,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,3,1960.0
567,In Cold Blood,1967.0,R,134,"Biography, Crime, Drama",89.0,,7.9,25.54,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,12,1960.0
568,Doctor Zhivago,1965.0,PG-13,197,"Drama, Romance, War",69.0,111.72,7.9,111.72,Drama,Doctor Zhivago is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,10,1960.0
569,A Fistful of Dollars,1964.0,R,99,"Action, Drama, Western",65.0,14.5,7.9,14.5,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,12,1960.0
570,Charade,1963.0,Passed,113,"Comedy, Mystery, Romance",83.0,13.47,7.9,13.47,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,11,1960.0
571,Vivre Sa Vie,1962.0,Not Rated,85,Drama,80.0,,7.9,25.54,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1960.0
572,The Manchurian Candidate,1962.0,PG-13,126,"Drama, Thriller",94.0,,7.9,25.54,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,10,1960.0
573,Spartacus,1960.0,PG-13,197,"Adventure, Biography, Drama",87.0,30.0,7.9,30.0,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,10,1960.0
574,Hiroshima Mon Amour,1959.0,Not Rated,90,"Drama, Romance",80.0,0.09,7.9,0.09,Drama,Hiroshima Mon Amour is a solid drama film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,6,8,1950.0
575,Cat on a Hot Tin Roof,1958.0,Not Rated,108,Drama,84.0,17.57,7.9,17.57,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,8,1950.0
576,Elevator to the Gallows,1958.0,Not Rated,91,"Crime, Drama, Thriller",94.0,0.11,7.9,0.11,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,8,1950.0
577,The Ten Commandments,1956.0,G,220,"Adventure, Drama, Family",80.0,93.74,7.9,93.74,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,4,1950.0
578,The Searchers,1956.0,Passed,119,"Adventure, Drama, Western",94.0,,7.9,25.54,Adventure,Pretty good movie with some memorable moments in the adventure genre.,0.0,0.488,0.512,0.8126,Positive,1,11,1950.0
579,The Big Heat,1953.0,Passed,89,"Crime, Film-Noir, Thriller",80.0,,7.9,25.54,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,11,1950.0
580,A Streetcar Named Desire,1951.0,PG,122,Drama,97.0,8.0,7.9,8.0,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,1950.0
581,Strangers on a Train,1951.0,PG,101,"Crime, Drama, Film-Noir",88.0,7.63,7.9,7.63,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,9,1950.0
582,In a Lonely Place,1950.0,Not Rated,94,"Drama, Film-Noir, Mystery",80.0,,7.9,25.54,Drama,In a Lonely Place is a solid drama film. Entertaining with good performances.,0.132,0.476,0.392,0.5994,Positive,6,8,1950.0
583,Harvey,1950.0,Approved,104,"Comedy, Drama, Fantasy",80.0,,7.9,25.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,3,1950.0
584,Rope,1948.0,Approved,80,"Crime, Drama, Mystery",73.0,,7.9,25.54,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,3,1940.0
585,Miracle on 34th Street,1947.0,Not Rated,96,"Comedy, Drama, Family",88.0,2.65,7.9,2.65,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,8,1940.0
586,Notorious,1946.0,Not Rated,102,"Drama, Film-Noir, Romance",100.0,10.46,7.9,10.46,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1940.0
587,The Big Sleep,1946.0,Passed,114,"Crime, Film-Noir, Mystery",86.0,6.54,7.9,6.54,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,11,1940.0
588,Beauty and the Beast,1946.0,Not Rated,93,"Drama, Fantasy, Romance",92.0,0.3,7.9,0.3,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,8,1940.0
589,Mildred Pierce,1945.0,Approved,111,"Crime, Drama, Film-Noir",88.0,,7.9,25.54,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,3,1940.0
590,The Lost Weekend,1945.0,Passed,101,"Drama, Film-Noir",80.0,9.46,7.9,9.46,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,11,1940.0
591,Laura,1944.0,Passed,88,"Drama, Film-Noir, Mystery",80.0,4.36,7.9,4.36,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,11,1940.0
592,Arsenic and Old Lace,1944.0,Not Rated,118,"Comedy, Crime, Thriller",80.0,,7.9,25.54,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,8,1940.0
593,Sullivan's Travels,1941.0,Passed,90,"Adventure, Comedy, Drama",80.0,,7.9,25.54,Adventure,Pretty good movie with some memorable moments in the adventure genre.,0.0,0.488,0.512,0.8126,Positive,1,11,1940.0
594,The Philadelphia Story,1940.0,Not Rated,112,"Comedy, Romance",96.0,,7.9,25.54,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,8,1940.0
595,The Rules of the Game,1939.0,Not Rated,110,"Comedy, Drama",98.0,,7.9,25.54,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,8,1930.0
596,The Adventures of Robin Hood,1938.0,PG,102,"Action, Adventure, Romance",97.0,3.98,7.9,3.98,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,9,1930.0
597,The Thin Man,1934.0,TV-PG,91,"Comedy, Crime, Mystery",86.0,,7.9,25.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,15,1930.0
598,King Kong,1933.0,Passed,100,"Adventure, Horror, Sci-Fi",90.0,10.0,7.9,10.0,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,11,1930.0
599,Battleship Potemkin,1925.0,Not Rated,66,"Drama, History, Thriller",97.0,0.05,7.9,0.05,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1920.0
600,Nosferatu,1922.0,Not Rated,94,"Fantasy, Horror",80.0,,7.9,25.54,Fantasy,Enjoyed watching this. Great fantasy elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,8,8,1920.0
601,The Gentlemen,2019.0,R,113,"Action, Comedy, Crime",51.0,36.47,7.8,36.47,Action,The Gentlemen is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,12,2010.0
602,Hindi Medium,2017.0,Not Rated,132,"Comedy, Drama",80.0,,7.8,25.54,Comedy,Hindi Medium is a solid comedy film. Entertaining with good performances.,0.0,0.414,0.586,0.836,Positive,4,8,2010.0
603,Call Me by Your Name,2017.0,R,132,"Drama, Romance",94.0,18.1,7.8,18.1,Drama,Call Me by Your Name is a solid drama film. Entertaining with good performances.,0.0,0.598,0.402,0.7506,Positive,6,12,2010.0
604,"I, Daniel Blake",2016.0,R,100,Drama,78.0,0.26,7.8,0.26,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2010.0
605,Isle of Dogs,2018.0,PG-13,101,"Animation, Adventure, Comedy",82.0,32.02,7.8,32.02,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,10,2010.0
606,Dunkirk,2017.0,PG-13,106,"Action, Drama, History",94.0,188.37,7.8,188.37,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,10,2010.0
607,Hidden Figures,2016.0,PG,127,"Biography, Drama, History",74.0,169.61,7.8,169.61,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,9,2010.0
608,Hunt for the Wilderpeople,2016.0,PG-13,101,"Adventure, Comedy, Drama",81.0,5.2,7.8,5.2,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,10,2010.0
609,Paddington 2,2017.0,PG,103,"Adventure, Comedy, Family",88.0,40.44,7.8,40.44,Adventure,Paddington 2 is a solid adventure film. Entertaining with good performances.,0.0,0.419,0.581,0.8271,Positive,1,9,2010.0
610,Manchester by the Sea,2016.0,R,137,Drama,96.0,47.7,7.8,47.7,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,2010.0
611,Land of Mine,2015.0,R,100,"Drama, History, War",75.0,0.44,7.8,0.44,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2010.0
612,Rogue One: A Star Wars Story,2016.0,PG-13,133,"Action, Adventure, Sci-Fi",65.0,532.18,7.8,532.18,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,10,2010.0
613,Captain Fantastic,2016.0,R,118,"Comedy, Drama",72.0,5.88,7.8,5.88,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,12,2010.0
614,Captain America: Civil War,2016.0,PG-13,147,"Action, Adventure, Sci-Fi",75.0,408.08,7.8,408.08,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,10,2010.0
615,The Hateful Eight,2015.0,R,168,"Crime, Drama, Mystery",68.0,54.12,7.8,54.12,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,12,2010.0
616,Little Women,2019.0,PG,135,"Drama, Romance",91.0,108.1,7.8,108.1,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,2010.0
617,Loving Vincent,2017.0,PG-13,94,"Animation, Biography, Crime",62.0,6.74,7.8,6.74,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,10,2010.0
618,Pride,,R,119,"Biography, Comedy, Drama",79.0,,7.8,25.54,Biography,Pride is a solid biography film. Entertaining with good performances.,0.0,0.38,0.62,0.8316,Positive,3,12,
619,Nightcrawler,2014.0,R,117,"Crime, Drama, Thriller",76.0,32.38,7.8,32.38,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,12,2010.0
